step,time,drift_vv,drift_rk4
212,10.600000000000001,0.00012314898285998666,1.600991801157271e-06
213,10.65,0.00011633541980767443,1.6028032667809094e-06
214,10.700000000000001,0.0001086723095808598,1.6049420008761395e-06
215,10.75,9.974889848039284e-05,1.6073688465423746e-06
216,10.8,8.883882547322633e-05,1.6101223577251455e-06
217,10.850000000000001,7.4912419212834e-05,1.613235300137401e-06
218,10.9,5.66392751095655e-05,1.6166223852086883e-06
219,10.950000000000001,3.241535123594011e-05,1.619912042905497e-06
220,11.0,4.618453016069404e-07,1.622208900944469e-06
221,11.05,4.094124100309185e-05,1.6218220017813228e-06
222,11.100000000000001,9.301845214235632e-05,1.6161018551966086e-06
223,11.15,0.00015582149813215496,1.6016940711360168e-06
224,11.200000000000001,0.00022737675117785936,1.575631981568695e-06
225,11.25,0.0003029179480681198,1.537474824989283e-06
226,11.3,0.0003746904322991607,1.491839283809478e-06
227,11.350000000000001,0.00043287531513350647,1.449411835700262e-06
228,11.4,0.0004678244678059228,1.4242493642531402e-06
229,11.450000000000001,0.00047300175709015263,1.4274381872336244e-06
230,11.5,0.0004472935140877604,1.4609135748842177e-06
231,11.55,0.00039542901875466783,1.516239994958587e-06
232,11.600000000000001,0.00032629404925558,1.5792898186115074e-06
233,11.65,0.00025012103064618146,1.6369871942591295e-06
234,11.700000000000001,0.00017594026850309416,1.6816344027127896e-06
235,11.75,0.00011015906358829247,1.7113984612824904e-06
236,11.8,5.6334338762594514e-05,1.7283714312975145e-06
237,11.850000000000001,1.5709791181489066e-05,1.7362005702166703e-06
238,11.9,1.198248337016004e-05,1.7384207268664103e-06
239,11.950000000000001,2.7793676137495076e-05,1.7376783858677863e-06
240,12.0,3.3048419864094345e-05,1.7355801216468638e-06
241,12.05,2.906961076190247e-05,1.7328441226717013e-06
242,12.100000000000001,1.709552261538964e-05,1.7295446258292138e-06
243,12.15,1.668203252554768e-06,1.725361010958052e-06
244,12.200000000000001,2.5917728773911453e-05,1.7198200201983523e-06
245,12.25,5.409578513939762e-05,1.712544851844847e-06
246,12.3,8.426919782363653e-05,1.703507585747583e-06
247,12.350000000000001,0.00011409836316247537,1.6932366144661635e-06
248,12.4,0.00014094802786025987,1.6828867213302474e-06
249,12.450000000000001,0.00016215632406655112,1.674078713768109e-06
250,12.5,0.00017542385410213986,1.668491725422968e-06
251,12.55,0.0001792249212698364,1.667328129228798e-06
252,12.600000000000001,0.00017311147433289725,1.6708831947236139e-06
253,12.65,0.00015780421775555488,1.6784386630832714e-06
254,12.700000000000001,0.00013504257896102,1.6885428826235337e-06
255,12.75,0.00010725938283123497,1.6995423775800794e-06
256,12.8,7.720950050628176e-05,1.7101288214724983e-06
257,12.850000000000001,4.768834500099718e-05,1.7197106589701851e-06
258,12.9,2.1434638448683503e-05,1.7285349385014883e-06
259,12.950000000000001,1.2499284424371058e-06,1.7375442579378101e-06
260,13.0,9.698384610294887e-06,1.7478558821213263e-06
261,13.05,7.510267330867127e-06,1.759468177227373e-06
262,13.100000000000001,1.2595062621604324e-05,1.7685198805974145e-06
263,13.15,5.56321687037659e-05,1.7630521278041625e-06
264,13.200000000000001,0.00012451276139281855,1.720949058298803e-06
265,13.25,0.0002154196002026895,1.6213372191187346e-06
266,13.3,0.0003125008894256051,1.4793748803146945e-06
267,13.350000000000001,0.0003876896193474518,1.3756503468975723e-06
268,13.4,0.00041209462913309604,1.4083565103871164e-06
269,13.450000000000001,0.0003746018322658927,1.58496440368256e-06
270,13.5,0.00029015569076859234,1.8074762622605752e-06
271,13.55,0.00018831724683273252,1.9781306150617906e-06
272,13.600000000000001,9.487379482818077e-05,2.069616372193541e-06
273,13.65,2.2683988337730653e-05,2.1038439690485594e-06
274,13.700000000000001,2.661794710155263e-05,2.11007910654809e-06
275,13.75,5.709536478608685e-05,2.10692521281517e-06
276,13.8,7.42123558901867e-05,2.1025382892485437e-06
277,13.850000000000001,8.278464252376415e-05,2.099321703144733e-06
278,13.9,8.643006383385859e-05,2.0973758060742837e-06
279,13.950000000000001,8.768355266472126e-05,2.096157824965522e-06
280,14.0,8.829857701821644e-05,2.095080512523543e-06
281,14.05,8.9540876684991e-05,2.0936454590975655e-06
282,14.100000000000001,9.242451387864857e-05,2.0914091106913964e-06
283,14.15,9.789701875307033e-05,2.087894877557679e-06
284,14.200000000000001,0.00010699809646759403,2.0824775636202822e-06
285,14.25,0.00012102139490779743,2.074226177722687e-06
286,14.3,0.0001417133849632802,2.061663910951588e-06
287,14.350000000000001,0.00017155355020697627,2.0423678750856157e-06
288,14.4,0.00021418066774182314,2.0122655495527056e-06
289,14.450000000000001,0.00027506697271740193,1.9643617556909803e-06
290,14.5,0.000362601452925585,1.886418919386451e-06
291,14.55,0.0004898169226701742,1.756871312000711e-06
292,14.600000000000001,0.000676983392018683,1.538697366667909e-06
293,14.65,0.000954640182088736,1.1767020398788392e-06
294,14.700000000000001,0.0013626529153763784,6.407682544346762e-07
295,14.75,0.0019207881372665858,2.655119205960177e-07
296,14.8,0.0024526742927521755,2.6235837714803616e-06
297,14.850000000000001,0.0017887676442816037,1.8772332207433433e-05
298,14.9,0.004271118647272279,4.257267729046177e-05
299,14.950000000000001,0.01704163463025323,9.891993668246009e-05
300,15.0,0.01354140633831378,0.00010323296525332287
301,15.05,0.00151966625573321,0.00020489839020843746
302,15.100000000000001,0.0022780919456831285,0.00018599261149011387
303,15.15,0.0023373198724626,0.00017998444516438168
304,15.200000000000001,0.00175870007302611,0.00017982625775537182
305,15.25,0.0012557584822946056,0.0001804350472531317
306,15.3,0.0009073112922838372,0.00018090032656969848
