r_au,m_nfw_enclosed,v_keplerian,v_nfw_only,v_total
6.932865731462925,249.63219076271554,5.371042676830518,6.000589246746063,8.053270810329131
6.982364729458917,251.3688566000954,5.3519707648912815,6.000044473063075,8.040157010095369
7.031863727454909,253.100617868509,5.33310058674987,5.999449192335301,8.02716341429552
7.081362725450901,254.82748674532624,5.31442861089197,5.998804591077905,8.014287740167838
7.130861723446893,256.54947575689374,5.295951391752442,5.9981118257930355,8.00152776777803
7.180360721442885,258.26659776148904,5.277665567044419,5.997372023859394,7.9888813378430905
7.229859719438877,259.97886593293464,5.259567855189148,5.9965862843909665,7.976346349644355
7.279358717434869,261.6862937448482,5.241655052842122,5.995755679066194,7.963920759025662
7.3288577154308605,263.38889495549915,5.2239240325112695,5.994881252928702,7.951602576472545
7.378356713426853,265.08668359325287,5.206371740263161,5.993964025160753,7.93938986526875
7.427855711422845,266.77967394257615,5.188995193513449,5.99300498983049,7.927280739726506
7.477354709418837,268.4678805305816,5.171791478897877,5.992005116613965,7.915273363487115
7.526853707414829,270.1513181140933,5.154757750220421,5.990965351492977,7.903365947888713
7.57635270541082,271.8300016672084,5.1378912264752925,5.989886617429601,7.891556750398112
7.625851703406813,273.5039463693402,5.121189189939663,5.988769815018362,7.879844073103853
7.675350701402805,275.17316759372005,5.104648984334154,5.987615823116848,7.868226261267717
7.7248496993987965,276.8376808963434,5.088268013048258,5.986425499455638,7.8567017019321
7.774348697394789,278.4975020053403,5.072043737428005,5.985199681228279,7.845268822580762
7.82384769539078,280.15264681075683,5.055973675123306,5.983939185662095,7.8339260898506184
7.873346693386773,281.8031313547279,5.0400553984925365,5.982644810570527,7.8226720082923205
7.922845691382765,283.4489718220302,5.024286533062017,5.981317334887698,7.811505119177507
7.972344689378756,285.09018453099907,5.008664756038197,5.979957519185864,7.8004239993507225
8.02184368737475,286.7267859247944,4.993187794870401,5.9785661061763635,7.789427260124042
8.071342685370741,288.3587925630043,4.977853425862133,5.977143821194701,7.778513546212628
8.120841683366733,289.98622111357315,4.962659472828998,5.975691372670309,7.767681534709424
8.170340681362726,291.60908834504005,4.947603805801427,5.974209452581565,7.756929934097362
8.219839679358717,293.2274111190784,4.9326843397704225,5.972698736896592,7.7462574832975
8.269338677354709,294.84120638332433,4.917899033474655,5.971159886000343,7.735662950751577
8.318837675350702,296.4504911644821,4.903245888227328,5.969593545108479,7.725145133537558
8.368336673346693,298.05528256169754,4.888722946781251,5.9680003446684795,7.714702856516811
8.417835671342685,299.6555977401888,4.874328292230677,5.966380900748472,7.704334971511595
8.467334669338678,301.2514539251253,4.860060046948504,5.964735815414185,7.6940403565116435
8.51683366733467,302.84286839574395,4.845916371557494,5.963065677094452,7.683817914908634
8.56633266533066,304.42985847969715,4.831895463934236,5.961371060935668,7.673666574757434
8.615831663326654,306.01244154762026,4.817995558244631,5.959652529145572,7.663585288063036
8.665330661322646,307.5906350079123,4.8042149240097185,5.957910631326731,7.653573030092141
8.714829659318637,309.1644563017229,4.7905518652007295,5.9561459048000875,7.64362879870844
8.764328657314628,310.7339228981353,4.777004719362293,5.954358874918875,7.633751613730617
8.813827655310622,312.29905228954055,4.763571856762757,5.9525500553732895,7.6239405163122
8.863326653306613,313.8598619871946,4.7502516795706535,5.950719948486161,7.614194568342403
8.912825651302605,315.41636951695205,4.737042621056341,5.948869045499989,7.604512851867125
8.962324649298598,316.9685924151701,4.723943144817947,5.946997826855588,7.59489446852934
9.01182364729459,318.51654822477565,4.710951744030717,5.945106762462649,7.585338539028114
9.06132264529058,320.06025449149115,4.698066940718948,5.943196311962474,7.575844202595552
9.110821643286574,321.59972876021175,4.685287285049713,5.941266924983148,7.566410616490967
9.160320641282565,323.1349885715296,4.672611354647604,5.9393190413873915,7.557036955511635
9.209819639278557,324.66605145839907,4.6600377539297435,5.937353091513349,7.547722411519497
9.259318637274548,326.1929349429375,4.647565113460403,5.935369496408509,7.538466192983212
