Q_init,r_min,r_max,mass_ratio,L_norm,E_spec,v_spread,outcome
2.351307499766552,1.1792652515908224,6.073829156127881,0.3589375415875072,0.5202836541434214,0.09281789488398154,0.4722850576358012,1
1.1514779981585188,5.444976465893279,11.173926215910575,0.6530600922410105,0.254098615285462,-0.05867226284339564,0.1874567801765034,0
0.6929091912593989,2.557673884723953,5.933045471542088,0.5620605052139648,0.5724413441684407,-0.21483875684244075,0.4898807916671465,0
3.0644933845250253,4.508147987843123,8.867169756606287,0.369752565200428,0.09787157584172734,0.184383956333279,0.34066422845173305,2
2.810786985533825,2.11058510388493,5.429939606236422,0.41137698270035233,0.5939600598521576,0.1531952170219149,0.2919339835365639,2
1.0472843070460636,4.0744255284508695,9.769079066014546,0.44156477654495363,0.9553068682389696,-0.15591981928314952,0.21026253339372364,0
1.253682675764638,7.747927943373404,11.159876238360866,0.4862142722933325,0.4683087147479434,-0.06811592145351722,0.13214483792624268,0
0.9478377266911927,2.3284656771887047,9.788113900289447,0.41405253072716164,0.36690071459837864,-0.1904524059533019,0.3509141533775612,0
1.1196893526542233,3.1769350804297156,11.712361131200483,0.4276806766341615,0.8500117703287831,-0.10851928767824061,0.09010359114147382,0
0.5089175390923966,4.683878813064074,11.440829745531747,0.4838547759620285,0.9195384577328097,-0.14752200323419043,0.017525322073560324,0
3.9246615579978577,5.065039402308824,8.404103121370557,0.4385019559395192,0.29565196870653404,0.23890744811113154,0.4587358091091482,2
0.6665050288129011,2.752553198941278,8.101388080983789,0.34855470190228216,0.5820856265646914,-0.30385208181259077,0.06991885279300598,0
0.9649422175441933,3.9204530833413864,8.020481509476188,0.34323439383540827,0.6711102764062727,-0.28521520306735926,0.17448936360398898,1
1.1522533528263224,3.3601155022679308,5.451419425723679,0.4587247106416774,0.7445578929279641,-0.18927765748123757,0.21684366535204075,0
0.48110429970927465,4.883206829466653,6.198954009981943,0.44232117197944315,0.4181882049191082,-0.2768262434111515,0.15419248947327502,0
1.5489008637730888,3.227558208194714,4.969903340066295,0.45288961596219596,0.3289212604166318,-0.0845207244666761,0.20562095966298014,0
0.8212707175538421,4.863858760879605,9.089476697195618,0.42173510753694576,0.8291283032407891,-0.11488880098926009,0.08709282140602909,0
